[2025-11-05 05:53:48.125] I [OvenMediaEngine:1] OvenMediaEngine | main.cpp:147  | Trying to create RTSPC Provider...
[2025-11-05 05:53:48.126] I [OvenMediaEngine:1] Provider | provider.cpp:37   | RTSPCProvider has been started.
[2025-11-05 05:53:48.126] I [OvenMediaEngine:1] OvenMediaEngine | main.cpp:148  | Trying to create File Provider...
[2025-11-05 05:53:48.126] I [OvenMediaEngine:1] Provider | provider.cpp:37   | FileProvider has been started.
[2025-11-05 05:53:48.126] I [OvenMediaEngine:1] OvenMediaEngine | main.cpp:149  | Trying to create Scheduled Provider...
[2025-11-05 05:53:48.126] I [OvenMediaEngine:1] Provider | provider.cpp:37   | ScheduledProvider has been started.
[2025-11-05 05:53:48.126] I [OvenMediaEngine:1] OvenMediaEngine | main.cpp:150  | Trying to create Multiplex Provider...
[2025-11-05 05:53:48.127] I [OvenMediaEngine:1] Provider | provider.cpp:37   | MultiplexProvider has been started.
[2025-11-05 05:53:48.127] I [OvenMediaEngine:1] OvenMediaEngine | main.cpp:157  | All modules are initialized successfully
[2025-11-05 05:53:48.127] I [OvenMediaEngine:1] Monitor | monitoring.cpp:94   | OvenMediaEngine(788eaae4-a301-431c-a58a-701ea6b5fbbf) ServerMetric has been started for monitoring - 2025-11-05T05:53:48.127+00:00
[2025-11-05 05:53:48.127] E [OvenMediaEngine:1] Certificate | certificate.cpp:47   | Failed to create a certificate for VirtualHost [default]:
	Reason: [default] Could not create a certificate from file - [OpenSSL] error:16000069:STORE routines::unregistered scheme (369098857)
	Cert file path: origin_conf/./cert.crt
	Chain cert file path: origin_conf/./cert.ca-bundle
	Private key file path: origin_conf/./cert.key
[2025-11-05 05:53:48.127] I [OvenMediaEngine:1] Monitor | server_metrics.cpp:61   | Create HostMetrics(default/788eaae4-a301-431c-a58a-701ea6b5fbbf/#default#) for monitoring
[2025-11-05 05:53:48.127] I [OvenMediaEngine:1] Orchestrator | orchestrator.cpp:1302 | Trying to create an application: [#default#app]
[2025-11-05 05:53:48.128] I [OvenMediaEngine:1] Monitor | host_metrics.cpp:58   | Create ApplicationMetrics(#default#app/788eaae4-a301-431c-a58a-701ea6b5fbbf/#default#app) for monitoring
[2025-11-05 05:53:48.128] I [OvenMediaEngine:1] MediaRouter | mediarouter_application.cpp:52   | [#default#app(0)] Created Mediarouter application. Worker(1) DelayBufferTime(0)
[2025-11-05 05:53:48.128] I [OvenMediaEngine:1] MediaRouter | mediarouter.cpp:83   | Created Mediarouter. app(#default#app)
